,CGL.TO,CGL.TO,CGL.TO,CGL.TO,CGL.TO,CGL.TO,VVO.TO,VVO.TO,VVO.TO,VVO.TO,VVO.TO,VVO.TO,REI-UN.TO,REI-UN.TO,REI-UN.TO,REI-UN.TO,REI-UN.TO,REI-UN.TO,ZDV.TO,ZDV.TO,ZDV.TO,ZDV.TO,ZDV.TO,ZDV.TO,XIU.TO,XIU.TO,XIU.TO,XIU.TO,XIU.TO,XIU.TO,HIX.TO,HIX.TO,HIX.TO,HIX.TO,HIX.TO,HIX.TO
,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-26,15.359999656677246,15.359999656677246,15.279999732971191,15.319999694824219,15.319999694824219,46300,33.279998779296875,33.29999923706055,33.279998779296875,33.29999923706055,33.29999923706055,2800,17.489999771118164,17.6200008392334,17.3799991607666,17.489999771118164,17.336843490600586,580300,16.950000762939453,16.950000762939453,16.799999237060547,16.860000610351562,16.7310848236084,55500,26.8700008392334,26.889999389648438,26.610000610351562,26.610000610351562,26.423635482788086,2446900,9.119999885559082,9.130000114440918,9.119999885559082,9.130000114440918,9.130000114440918,3000
2021-01-27,15.25,15.260000228881836,15.149999618530273,15.25,15.25,44000,32.91999816894531,33.36000061035156,32.790000915527344,32.790000915527344,32.790000915527344,5600,17.360000610351562,17.389999389648438,17.010000228881836,17.079999923706055,16.930435180664062,1385400,16.700000762939453,16.700000762939453,16.479999542236328,16.510000228881836,16.447168350219727,73900,26.469999313354492,26.469999313354492,26.020000457763672,26.06999969482422,25.887414932250977,5269100,9.180000305175781,9.329999923706055,9.180000305175781,9.329999923706055,9.329999923706055,16900
2021-01-28,15.390000343322754,15.4399995803833,15.15999984741211,15.239999771118164,15.239999771118164,74700,32.81999969482422,32.81999969482422,32.77000045776367,32.77000045776367,32.77000045776367,500,17.0,17.31999969482422,16.920000076293945,17.219999313354492,17.149534225463867,2050300,16.579999923706055,16.709999084472656,16.530000686645508,16.639999389648438,16.57667350769043,20700,26.209999084472656,26.56999969482422,26.149999618530273,26.5,26.314403533935547,3744400,9.390000343322754,9.390000343322754,9.149999618530273,9.149999618530273,9.149999618530273,8200
2021-01-29,15.390000343322754,15.420000076293945,15.260000228881836,15.270000457763672,15.270000457763672,66700,32.779998779296875,32.779998779296875,32.27000045776367,32.400001525878906,32.400001525878906,2000,17.06999969482422,17.299999237060547,16.899999618530273,17.030000686645508,16.960311889648438,2195200,16.56999969482422,16.56999969482422,16.309999465942383,16.399999618530273,16.337587356567383,94400,26.25,26.31999969482422,25.920000076293945,26.020000457763672,25.837766647338867,6018500,9.199999809265137,9.359999656677246,9.199999809265137,9.329999923706055,9.329999923706055,46600
2021-02-01,15.449999809265137,15.449999809265137,15.34000015258789,15.399999618530273,15.399999618530273,63000,32.529998779296875,32.779998779296875,32.529998779296875,32.70000076293945,32.70000076293945,4000,17.0,17.3799991607666,16.989999771118164,17.34000015258789,17.26904296875,1756400,16.440000534057617,16.59000015258789,16.440000534057617,16.540000915527344,16.4770565032959,38600,26.290000915527344,26.479999542236328,26.18000030517578,26.43000030517578,26.244895935058594,3000500,9.319999694824219,9.319999694824219,9.15999984741211,9.180000305175781,9.180000305175781,11200
2021-02-02,15.199999809265137,15.210000038146973,15.119999885559082,15.1899995803833,15.1899995803833,53600,32.9900016784668,33.02000045776367,32.91999816894531,32.939998626708984,32.939998626708984,1100,17.399999618530273,17.559999465942383,17.350000381469727,17.5,17.428388595581055,1033200,16.6299991607666,16.75,16.6299991607666,16.719999313354492,16.656368255615234,41800,26.59000015258789,26.850000381469727,26.56999969482422,26.799999237060547,26.612302780151367,2154300,9.100000381469727,9.100000381469727,9.039999961853027,9.039999961853027,9.039999961853027,6700
2021-02-03,15.170000076293945,15.1899995803833,15.119999885559082,15.119999885559082,15.119999885559082,81700,32.939998626708984,32.95000076293945,32.939998626708984,32.95000076293945,32.95000076293945,600,17.5,17.56999969482422,17.3700008392334,17.530000686645508,17.45826530456543,1374100,16.739999771118164,16.739999771118164,16.68000030517578,16.739999771118164,16.676294326782227,37400,26.84000015258789,26.8799991607666,26.719999313354492,26.850000381469727,26.66195297241211,2199000,9.039999961853027,9.0600004196167,9.039999961853027,9.039999961853027,9.039999961853027,2400
2021-02-04,14.850000381469727,14.850000381469727,14.770000457763672,14.800000190734863,14.800000190734863,402000,32.900001525878906,32.9900016784668,32.88999938964844,32.91999816894531,32.91999816894531,1200,17.559999465942383,17.780000686645508,17.559999465942383,17.729999542236328,17.657445907592773,1222200,16.790000915527344,16.889999389648438,16.75,16.860000610351562,16.79583740234375,31200,26.950000762939453,27.1200008392334,26.899999618530273,27.059999465942383,26.870481491088867,2799800,9.0,9.0,8.949999809265137,8.949999809265137,8.949999809265137,4600
2021-02-05,14.869999885559082,15.0,14.869999885559082,14.960000038146973,14.960000038146973,59000,33.040000915527344,33.099998474121094,33.040000915527344,33.099998474121094,33.099998474121094,1300,17.75,18.1299991607666,17.709999084472656,18.020000457763672,17.946260452270508,1305500,16.920000076293945,16.950000762939453,16.8799991607666,16.899999618530273,16.835683822631836,33700,27.139999389648438,27.209999084472656,27.09000015258789,27.190000534057617,26.99957275390625,2115200,8.9399995803833,8.9399995803833,8.920000076293945,8.930000305175781,8.930000305175781,9400
2021-02-08,15.140000343322754,15.199999809265137,15.119999885559082,15.140000343322754,15.140000343322754,102600,33.13999938964844,33.36000061035156,33.13999938964844,33.36000061035156,33.36000061035156,1500,18.020000457763672,18.110000610351562,17.8799991607666,17.979999542236328,17.906423568725586,1190000,16.959999084472656,17.010000228881836,16.959999084472656,17.0,16.935304641723633,79100,27.329999923706055,27.459999084472656,27.31999969482422,27.459999084472656,27.26767921447754,2041100,8.90999984741211,8.90999984741211,8.84000015258789,8.84000015258789,8.84000015258789,18000
2021-02-09,15.220000267028809,15.239999771118164,15.180000305175781,15.1899995803833,15.1899995803833,47100,33.439998626708984,33.560001373291016,33.40999984741211,33.5099983215332,33.5099983215332,900,18.079999923706055,18.09000015258789,17.690000534057617,17.739999771118164,17.66740608215332,1484600,16.950000762939453,17.020000457763672,16.90999984741211,16.950000762939453,16.885496139526367,46800,27.520000457763672,27.6200008392334,27.469999313354492,27.559999465942383,27.366979598999023,2758400,8.8100004196167,8.8100004196167,8.789999961853027,8.800000190734863,8.800000190734863,9200
2021-02-10,15.239999771118164,15.279999732971191,15.15999984741211,15.210000038146973,15.210000038146973,36800,33.630001068115234,33.630001068115234,33.5,33.5,33.5,500,17.760000228881836,17.889999389648438,17.68000030517578,17.799999237060547,17.72715950012207,808100,16.979999542236328,16.989999771118164,16.8799991607666,16.950000762939453,16.885496139526367,31200,27.649999618530273,27.780000686645508,27.440000534057617,27.639999389648438,27.446420669555664,2176700,8.789999961853027,8.789999961853027,8.770000457763672,8.779999732971191,8.779999732971191,3700
2021-02-11,15.1899995803833,15.239999771118164,15.039999961853027,15.100000381469727,15.100000381469727,100600,33.56999969482422,33.56999969482422,33.56999969482422,33.56999969482422,33.56999969482422,700,17.850000381469727,17.860000610351562,17.65999984741211,17.75,17.677364349365234,1259800,16.969999313354492,16.989999771118164,16.93000030517578,16.940000534057617,16.875532150268555,35100,27.719999313354492,27.719999313354492,27.540000915527344,27.639999389648438,27.446420669555664,1177600,8.779999732971191,8.800000190734863,8.75,8.779999732971191,8.779999732971191,32200
2021-02-12,14.989999771118164,15.100000381469727,14.970000267028809,15.050000190734863,15.050000190734863,60200,33.66999816894531,33.709999084472656,33.61000061035156,33.709999084472656,33.709999084472656,3300,17.780000686645508,18.059999465942383,17.780000686645508,17.989999771118164,17.916383743286133,1577600,16.959999084472656,17.010000228881836,16.920000076293945,17.010000228881836,16.945266723632812,42300,27.6200008392334,27.760000228881836,27.59000015258789,27.75,27.55565071105957,7219100,8.710000038146973,8.779999732971191,8.710000038146973,8.729999542236328,8.729999542236328,11500
2021-02-16,14.800000190734863,14.970000267028809,14.789999961853027,14.829999923706055,14.829999923706055,94400,33.61000061035156,33.61000061035156,33.540000915527344,33.540000915527344,33.540000915527344,1400,18.0,18.200000762939453,17.940000534057617,18.059999465942383,17.986095428466797,1483100,17.030000686645508,17.06999969482422,17.0,17.010000228881836,16.945266723632812,81400,27.8799991607666,27.920000076293945,27.760000228881836,27.780000686645508,27.585439682006836,2017300,8.710000038146973,8.720000267028809,8.6899995803833,8.720000267028809,8.720000267028809,3400
