Date,Open,High,Low,Close,Adj Close,Volume
2017-08-16,52.349998,52.470001,52.349998,52.459999,47.526192,23700
2017-08-17,52.330002,52.360001,51.860001,51.880001,47.000751,37700
2017-08-18,51.919998,52.080002,51.820000,51.950001,47.064167,71200
2017-08-21,51.950001,52.000000,51.840000,51.959999,47.073227,41300
2017-08-22,52.110001,52.320000,51.990002,52.299999,47.381241,65900
2017-08-23,52.189999,52.290001,52.150002,52.250000,47.335945,26700
2017-08-24,52.320000,52.320000,52.150002,52.169998,47.263462,26400
2017-08-25,52.349998,52.470001,52.330002,52.360001,47.435604,155500
2017-08-28,52.450001,52.450001,52.290001,52.320000,47.399364,31300
2017-08-29,52.080002,52.369999,52.080002,52.290001,47.372185,40500
2017-08-30,52.290001,52.439999,52.270000,52.430000,47.499016,31800
2017-08-31,52.590000,52.770000,52.529999,52.740002,47.779865,150700
2017-09-01,52.849998,52.849998,52.740002,52.820000,47.852341,38200
2017-09-05,52.770000,52.770000,52.349998,52.529999,47.589619,65500
2017-09-06,52.680000,52.720001,52.590000,52.680000,47.725506,34300
2017-09-07,52.880001,52.880001,52.770000,52.860001,47.888580,30700
2017-09-08,52.820000,52.880001,52.759998,52.759998,47.797977,20700
2017-09-11,53.080002,53.240002,53.049999,53.200001,48.196602,32300
2017-09-12,53.470001,53.470001,53.220001,53.279999,48.269081,33400
2017-09-13,53.250000,53.259998,53.150002,53.230000,48.223785,34000
2017-09-14,53.110001,53.270000,53.080002,53.270000,48.260017,47900
2017-09-15,53.270000,53.330002,53.180000,53.330002,48.314381,49600
2017-09-18,53.369999,53.480000,53.330002,53.430000,48.404972,47900
2017-09-19,53.500000,53.529999,53.419998,53.529999,48.495575,45500
2017-09-20,53.560001,53.570000,53.189999,53.400002,48.377796,37600
2017-09-21,53.410000,53.439999,53.299999,53.380001,48.359676,31900
2017-09-22,53.340000,53.419998,53.299999,53.360001,48.341553,32400
2017-09-25,53.279999,53.360001,53.099998,53.240002,48.232841,30200
2017-09-26,53.259998,53.290001,53.119999,53.189999,48.187534,31800
2017-09-27,53.160000,53.330002,53.060001,53.209999,48.205666,48200
2017-09-28,53.389999,53.389999,53.220001,53.360001,48.341553,29600
2017-09-29,53.419998,53.580002,53.360001,53.580002,48.540863,42500
2017-10-02,53.590000,53.669998,53.540001,53.669998,48.622398,46400
2017-10-03,53.610001,53.689999,53.549999,53.689999,48.783226,42500
2017-10-04,53.700001,53.730000,53.570000,53.610001,48.710533,53900
2017-10-05,53.790001,53.840000,53.669998,53.820000,48.901340,79600
2017-10-06,53.689999,53.779999,53.650002,53.779999,48.864994,52600
2017-10-09,53.869999,53.869999,53.619999,53.730000,48.819565,51800
2017-10-10,53.880001,53.990002,53.830002,53.990002,49.055809,40100
2017-10-11,53.980000,54.090000,53.970001,54.090000,49.146664,39900
2017-10-12,54.119999,54.130001,54.009998,54.060001,49.119408,39900
2017-10-13,54.270000,54.410000,54.160000,54.250000,49.292046,63600
2017-10-16,54.279999,54.310001,54.160000,54.259998,49.301136,44900
2017-10-17,54.119999,54.200001,54.080002,54.200001,49.246605,33400
2017-10-18,54.200001,54.290001,54.180000,54.259998,49.301136,40400
2017-10-19,54.049999,54.160000,54.000000,54.130001,49.183010,47500
2017-10-20,54.270000,54.299999,54.160000,54.259998,49.301136,38400
2017-10-23,54.349998,54.349998,54.110001,54.139999,49.192104,32500
2017-10-24,54.150002,54.250000,54.139999,54.200001,49.246605,47600
2017-10-25,54.099998,54.130001,53.759998,53.950001,49.019459,49700
2017-10-26,54.099998,54.150002,54.000000,54.060001,49.119408,62700
2017-10-27,54.169998,54.320000,54.070000,54.310001,49.346561,30700
2017-10-30,54.310001,54.320000,54.189999,54.209999,49.255703,153800
2017-10-31,54.290001,54.439999,54.259998,54.340000,49.373821,105100
2017-11-01,54.759998,54.759998,54.400002,54.480000,49.501026,57100
2017-11-02,54.419998,54.520000,54.330002,54.520000,49.537369,40100
2017-11-03,54.500000,54.570000,54.410000,54.549999,49.564625,60600
2017-11-06,54.560001,54.709999,54.549999,54.700001,49.700920,37000
2017-11-07,54.650002,54.700001,54.500000,54.580002,49.591892,56000
2017-11-08,54.580002,54.700001,54.549999,54.639999,49.646397,53100
2017-11-09,54.369999,54.490002,54.180000,54.410000,49.437420,48600
2017-11-10,54.320000,54.389999,54.290001,54.340000,49.373821,60100
2017-11-13,54.080002,54.310001,54.080002,54.270000,49.310215,48600
2017-11-14,54.130001,54.220001,54.029999,54.220001,49.264790,45300
2017-11-15,54.000000,54.070000,53.840000,54.000000,49.064888,49600
2017-11-16,54.200001,54.500000,54.200001,54.450001,49.473763,58700
2017-11-17,54.400002,54.450001,54.330002,54.380001,49.410164,46500
2017-11-20,54.450001,54.500000,54.430000,54.480000,49.501026,71000
2017-11-21,54.709999,54.840000,54.709999,54.820000,49.809956,73800
2017-11-22,54.860001,54.950001,54.790001,54.810001,49.800861,67300
2017-11-24,55.000000,55.029999,54.990002,55.000000,49.973495,12400
2017-11-27,54.939999,55.000000,54.830002,54.869999,49.855377,43900
2017-11-28,54.849998,55.220001,54.849998,55.110001,50.073448,31700
2017-11-29,55.130001,55.180000,54.970001,54.980000,49.955330,124200
2017-11-30,55.169998,55.320000,55.139999,55.230000,50.182480,70200
2017-12-01,55.169998,55.240002,54.799999,55.160000,50.118877,70000
2017-12-04,55.380001,55.439999,55.009998,55.009998,49.982586,60400
2017-12-05,55.040001,55.160000,54.860001,54.959999,49.937153,45400
2017-12-06,54.810001,54.880001,54.779999,54.790001,49.782696,39600
2017-12-07,54.750000,55.009998,54.750000,54.939999,49.918987,67600
2017-12-08,55.150002,55.200001,55.049999,55.169998,50.127964,86800
2017-12-11,55.209999,55.310001,55.169998,55.259998,50.209743,81500
2017-12-12,55.270000,55.330002,55.200001,55.299999,50.246082,67800
2017-12-13,55.349998,55.500000,55.299999,55.430000,50.364201,81300
2017-12-14,55.419998,55.419998,55.169998,55.240002,50.191563,50100
2017-12-15,55.290001,55.480000,55.250000,55.349998,50.291512,54600
2017-12-18,55.680000,55.880001,55.560001,55.820000,50.718563,61700
2017-12-19,56.400002,56.400002,55.619999,55.650002,50.564102,136100
2017-12-20,55.730000,55.730000,55.500000,55.580002,50.500492,60500
2017-12-21,55.730000,55.830002,55.639999,55.750000,50.654968,56900
2017-12-22,55.770000,55.779999,55.689999,55.779999,50.682213,72600
2017-12-26,55.759998,55.799999,55.730000,55.750000,50.654968,32400
2017-12-27,55.790001,55.900002,55.770000,55.810001,50.709476,44100
2017-12-28,53.950001,53.980000,53.830002,53.910000,50.862316,84600
2017-12-29,54.080002,54.080002,53.840000,53.880001,50.834007,89100
2018-01-02,54.070000,54.209999,53.959999,54.209999,51.145355,159700
2018-01-03,54.290001,54.480000,54.290001,54.470001,51.390659,84700
2018-01-04,54.689999,54.799999,54.680000,54.759998,51.664257,183300
2018-01-05,54.880001,55.040001,54.790001,55.040001,51.928432,209900
2018-01-08,55.060001,55.060001,54.900002,54.990002,51.881256,104600
2018-01-09,55.070000,55.139999,54.990002,55.080002,51.966167,77800
2018-01-10,55.009998,55.020000,54.860001,54.970001,51.862392,75000
2018-01-11,55.029999,55.290001,55.029999,55.290001,52.164295,63600
2018-01-12,55.349998,55.650002,55.320000,55.599998,52.456776,104000
2018-01-16,55.840000,55.910000,55.400002,55.549999,52.409595,92900
2018-01-17,55.849998,55.950001,55.599998,55.869999,52.711510,70700
2018-01-18,55.770000,55.869999,55.700001,55.830002,52.673779,67400
2018-01-19,55.980000,56.020000,55.860001,55.930000,52.768116,66500
2018-01-22,56.029999,56.330002,56.029999,56.330002,53.145512,101300
2018-01-23,56.340000,56.490002,56.340000,56.490002,53.296459,56400
2018-01-24,56.660000,56.730000,56.380001,56.560001,53.362503,83100
2018-01-25,56.689999,56.689999,56.349998,56.529999,53.334198,80800
2018-01-26,56.639999,56.939999,56.529999,56.919998,53.702152,61700
2018-01-29,56.709999,56.750000,56.509998,56.560001,53.362503,72500
2018-01-30,56.250000,56.330002,56.000000,56.090000,52.919075,68300
2018-01-31,56.299999,56.310001,55.980000,56.130001,52.956814,124000
2018-02-01,56.099998,56.230000,55.950001,56.000000,52.834156,65100
2018-02-02,55.630001,55.930000,55.000000,55.009998,51.900127,130400
2018-02-05,54.660000,54.820000,53.040001,53.290001,50.277367,249400
2018-02-06,52.759998,54.209999,52.529999,54.020000,50.966095,160600
2018-02-07,53.910000,54.270000,53.639999,53.639999,50.607578,124100
