Date,Open,High,Low,Close,Adj Close,Volume
2017-08-16,25.610001,25.670000,25.590000,25.590000,22.476641,18800
2017-08-17,25.540001,25.680000,25.540001,25.540001,22.432722,11000
2017-08-18,25.520000,25.520000,25.400000,25.450001,22.353680,20700
2017-08-21,25.440001,25.469999,25.400000,25.430000,22.336117,8300
2017-08-22,25.480000,25.540001,25.469999,25.500000,22.397593,11000
2017-08-23,25.440001,25.620001,25.440001,25.590000,22.476641,29500
2017-08-24,25.540001,25.549999,25.459999,25.459999,22.433472,7900
2017-08-25,25.490000,25.540001,25.450001,25.520000,22.486343,26900
2017-08-28,25.500000,25.500000,25.379999,25.389999,22.371788,12100
2017-08-29,25.309999,25.440001,25.270000,25.430000,22.407043,32600
2017-08-30,25.440001,25.600000,25.430000,25.559999,22.521585,10900
2017-08-31,25.600000,25.650000,25.530001,25.650000,22.600882,22800
2017-09-01,25.680000,25.680000,25.610001,25.670000,22.618505,21800
2017-09-05,25.620001,25.620001,25.400000,25.469999,22.442282,9500
2017-09-06,25.510000,25.610001,25.480000,25.490000,22.459906,15500
2017-09-07,25.480000,25.559999,25.469999,25.480000,22.451096,13600
2017-09-08,25.490000,25.500000,25.370001,25.389999,22.371788,10900
2017-09-11,25.469999,25.490000,25.459999,25.480000,22.451096,11000
2017-09-12,25.490000,25.629999,25.490000,25.620001,22.574451,19100
2017-09-13,25.639999,25.650000,25.620001,25.629999,22.583261,10100
2017-09-14,25.670000,25.740000,25.639999,25.740000,22.680183,9900
2017-09-15,25.709999,25.780001,25.690001,25.740000,22.680183,21800
2017-09-18,25.740000,25.840000,25.740000,25.809999,22.741863,19400
2017-09-19,25.840000,25.950001,25.840000,25.950001,22.865219,19800
2017-09-20,25.930000,25.980000,25.920000,25.980000,22.891649,55200
2017-09-21,25.959999,26.080000,25.959999,26.049999,22.953329,61000
2017-09-22,26.030001,26.070000,26.020000,26.049999,22.953329,20700
2017-09-25,25.990000,26.110001,25.980000,26.100000,23.069120,19900
2017-09-26,26.110001,26.110001,26.020000,26.070000,23.042606,11100
2017-09-27,26.090000,26.190001,26.080000,26.180000,23.139833,10800
2017-09-28,26.190001,26.290001,26.190001,26.290001,23.237061,15300
2017-09-29,26.309999,26.340000,26.280001,26.290001,23.237061,24400
2017-10-02,26.260000,26.410000,26.260000,26.400000,23.334282,19900
2017-10-03,26.420000,26.500000,26.420000,26.450001,23.378483,93700
2017-10-04,26.469999,26.490000,26.440001,26.490000,23.413832,8800
2017-10-05,26.500000,26.549999,26.500000,26.530001,23.449186,13000
2017-10-06,26.469999,26.469999,26.389999,26.440001,23.369640,49900
2017-10-10,26.480000,26.559999,26.440001,26.549999,23.466864,36800
2017-10-11,26.540001,26.559999,26.520000,26.540001,23.458025,12800
2017-10-12,26.540001,26.540001,26.459999,26.469999,23.396154,32600
2017-10-13,26.520000,26.580000,26.510000,26.549999,23.466864,17300
2017-10-16,26.590000,26.620001,26.540001,26.549999,23.466864,38900
2017-10-17,26.540001,26.570000,26.480000,26.500000,23.422672,23500
2017-10-18,26.540001,26.540001,26.450001,26.450001,23.378483,20700
2017-10-19,26.379999,26.459999,26.370001,26.459999,23.387321,18900
2017-10-20,26.520000,26.559999,26.490000,26.549999,23.466864,17400
2017-10-23,26.570000,26.570000,26.520000,26.530001,23.449186,25000
2017-10-24,26.559999,26.629999,26.559999,26.610001,23.519901,28900
2017-10-25,26.520000,26.520000,26.389999,26.450001,23.446321,22300
2017-10-26,26.549999,26.600000,26.520000,26.570000,23.552689,25700
2017-10-27,26.580000,26.670000,26.530001,26.629999,23.605881,38200
2017-10-30,26.639999,26.760000,26.639999,26.730000,23.694529,130500
2017-10-31,26.740000,26.850000,26.740000,26.799999,23.756575,40600
2017-11-01,26.870001,26.870001,26.730000,26.750000,23.712255,12000
2017-11-02,26.709999,26.730000,26.639999,26.700001,23.667927,31900
2017-11-03,26.719999,26.770000,26.709999,26.730000,23.694529,23700
2017-11-06,26.719999,26.820000,26.719999,26.760000,23.721123,22100
2017-11-07,26.760000,26.799999,26.750000,26.799999,23.756575,10700
2017-11-08,26.740000,26.760000,26.670000,26.750000,23.712255,15200
2017-11-09,26.700001,26.770000,26.670000,26.740000,23.703394,15400
2017-11-10,26.730000,26.730000,26.580000,26.639999,23.614744,16900
2017-11-13,26.559999,26.620001,26.559999,26.620001,23.597017,17200
2017-11-14,26.590000,26.600000,26.490000,26.500000,23.490641,19800
2017-11-15,26.420000,26.480000,26.370001,26.459999,23.455189,33200
2017-11-16,26.450001,26.610001,26.450001,26.600000,23.579288,21600
2017-11-17,26.610001,26.680000,26.610001,26.680000,23.650204,13300
2017-11-20,26.670000,26.790001,26.670000,26.780001,23.738850,29300
2017-11-21,26.790001,26.920000,26.770000,26.889999,23.836359,33800
2017-11-22,26.850000,26.900000,26.809999,26.820000,23.842583,21400
2017-11-23,26.790001,26.840000,26.790001,26.840000,23.860361,7500
2017-11-24,26.850000,26.900000,26.850000,26.879999,23.895918,32200
2017-11-27,26.870001,26.920000,26.760000,26.770000,23.798136,19100
2017-11-28,26.770000,26.830000,26.770000,26.780001,23.807018,11200
2017-11-29,26.790001,26.820000,26.719999,26.760000,23.789242,18500
2017-11-30,26.770000,27.030001,26.770000,27.010000,24.011482,25700
2017-12-01,26.980000,27.010000,26.850000,26.950001,23.958149,14400
2017-12-04,26.980000,27.020000,26.830000,26.830000,23.851471,25300
2017-12-05,26.830000,26.860001,26.750000,26.750000,23.780352,10000
2017-12-06,26.730000,26.830000,26.690001,26.770000,23.798136,12600
2017-12-07,26.750000,26.879999,26.740000,26.870001,23.887028,41300
2017-12-08,26.920000,27.000000,26.910000,26.980000,23.984818,32500
2017-12-11,26.990000,27.030001,26.980000,27.010000,24.011482,37700
2017-12-12,27.030001,27.049999,27.000000,27.000000,24.002596,13400
2017-12-13,27.040001,27.100000,27.040001,27.049999,24.047045,18400
2017-12-14,27.000000,27.070000,26.920000,26.920000,23.931480,13500
2017-12-15,26.990000,27.010000,26.910000,26.910000,23.922583,15700
2017-12-18,26.950001,27.090000,26.950001,26.959999,23.967033,28500
2017-12-19,26.969999,27.010000,26.930000,26.940001,23.949257,19200
2017-12-20,26.959999,26.959999,26.900000,26.950001,23.958149,12500
2017-12-21,26.910000,26.950001,26.889999,26.920000,23.931480,69700
2017-12-22,26.889999,26.889999,26.860001,26.860001,23.878138,11600
2017-12-27,26.840000,26.950001,26.840000,26.930000,23.940367,14000
2017-12-28,26.900000,26.920000,26.840000,26.920000,24.000099,13900
2017-12-29,26.930000,27.000000,26.840000,27.000000,24.071423,9100
2018-01-02,27.020000,27.080000,26.930000,27.080000,24.142742,27300
2018-01-03,27.100000,27.150000,27.049999,27.059999,24.124918,30000
2018-01-04,27.059999,27.080000,27.010000,27.030001,24.098169,25000
2018-01-05,27.040001,27.040001,26.969999,27.010000,24.080336,16200
2018-01-08,27.000000,27.000000,26.930000,27.000000,24.071423,347100
2018-01-09,27.040001,27.049999,26.940001,26.940001,24.017929,56000
2018-01-10,26.889999,26.889999,26.680000,26.690001,23.795046,32400
2018-01-11,26.700001,26.709999,26.629999,26.639999,23.750467,39300
2018-01-12,26.650000,26.680000,26.629999,26.660000,23.768299,41700
2018-01-15,26.690001,26.700001,26.639999,26.670000,23.777214,41000
2018-01-16,26.690001,26.700001,26.590000,26.600000,23.714809,41300
2018-01-17,26.590000,26.680000,26.590000,26.670000,23.777214,36400
2018-01-18,26.629999,26.670000,26.620001,26.629999,23.741554,28900
2018-01-19,26.620001,26.770000,26.620001,26.770000,23.866375,91200
2018-01-22,26.760000,26.780001,26.709999,26.770000,23.866375,29200
2018-01-23,26.770000,26.790001,26.680000,26.790001,23.884207,79100
2018-01-24,26.780001,26.790001,26.639999,26.709999,23.812878,47500
2018-01-25,26.700001,26.700001,26.620001,26.620001,23.799465,24300
2018-01-26,26.650000,26.650000,26.559999,26.610001,23.790529,22300
2018-01-29,26.580000,26.580000,26.410000,26.420000,23.620653,75200
2018-01-30,26.389999,26.389999,26.200001,26.209999,23.432905,36500
2018-01-31,26.240000,26.280001,26.150000,26.250000,23.468674,43700
2018-02-01,26.200001,26.200001,26.020000,26.110001,23.343502,45800
2018-02-02,26.000000,26.020000,25.730000,25.740000,23.012707,46800
2018-02-05,25.530001,25.719999,25.360001,25.410000,22.717674,57100
2018-02-06,25.129999,25.530001,24.900000,25.490000,22.789194,45400
2018-02-07,25.520000,25.600000,25.500000,25.500000,22.798132,63200
2018-02-08,25.500000,25.559999,25.170000,25.170000,22.503098,26900
2018-02-09,25.150000,25.160000,24.660000,25.000000,22.351112,61400
2018-02-12,25.160000,25.410000,25.120001,25.309999,22.628263,41700
2018-02-13,25.090000,25.260000,25.070000,25.160000,22.494165,26700
2018-02-14,25.100000,25.299999,25.000000,25.219999,22.547806,24800
2018-02-15,25.410000,25.420000,25.260000,25.379999,22.690853,20700
2018-02-16,25.480000,25.600000,25.459999,25.559999,22.851778,41700
2018-02-20,25.510000,25.590000,25.450001,25.520000,22.816017,57100
2018-02-21,25.590000,25.740000,25.580000,25.639999,22.923307,29200
2018-02-22,25.680000,25.750000,25.549999,25.570000,22.927786,23600
2018-02-23,25.639999,25.799999,25.639999,25.780001,23.116085,16600
2018-02-26,25.850000,25.900000,25.760000,25.860001,23.187817,20100
2018-02-27,25.860001,25.950001,25.750000,25.750000,23.089186,39900
2018-02-28,25.780001,25.780001,25.500000,25.500000,22.865015,31600
2018-03-01,25.430000,25.430000,25.190001,25.250000,22.640844,82800
2018-03-02,25.160000,25.290001,25.160000,25.270000,22.658787,19600
2018-03-05,25.209999,25.370001,25.209999,25.350000,22.730516,16300
2018-03-06,25.400000,25.400000,25.219999,25.330000,22.712589,18400
2018-03-07,25.230000,25.360001,25.160000,25.170000,22.569117,11100
2018-03-08,25.230000,25.350000,25.190001,25.299999,22.685682,22200
2018-03-09,25.389999,25.410000,25.340000,25.389999,22.766380,11800
2018-03-12,25.379999,25.500000,25.379999,25.459999,22.829149,21000
2018-03-13,25.500000,25.559999,25.430000,25.440001,22.811216,19700
2018-03-14,25.510000,25.510000,25.379999,25.400000,22.775352,12400
2018-03-15,25.420000,25.520000,25.379999,25.420000,22.793287,30300
2018-03-16,25.420000,25.580000,25.410000,25.410000,22.784317,25400
2018-03-19,25.389999,25.389999,25.270000,25.320000,22.703617,12900
2018-03-20,25.340000,25.440001,25.340000,25.440001,22.811216,20100
2018-03-21,25.400000,25.620001,25.400000,25.520000,22.882954,13100
2018-03-22,25.430000,25.430000,25.190001,25.190001,22.587053,19800
2018-03-23,25.120001,25.129999,24.809999,24.820000,22.321747,35700
2018-03-26,24.940001,24.940001,24.680000,24.780001,22.285774,31100
2018-03-27,24.879999,24.879999,24.620001,24.639999,22.159863,26800
2018-03-28,24.650000,24.750000,24.650000,24.700001,22.213823,22700
2018-03-29,24.750000,24.950001,24.750000,24.950001,22.438662,22200
2018-04-02,24.940001,24.940001,24.639999,24.740000,22.249796,36300
2018-04-03,24.719999,24.740000,24.590000,24.680000,22.195843,21500
2018-04-04,24.520000,24.730000,24.410000,24.719999,22.231808,25900
2018-04-05,24.889999,25.160000,24.889999,25.129999,22.600538,36500
2018-04-06,25.040001,25.180000,24.920000,24.950001,22.438662,16500
2018-04-09,25.020000,25.080000,25.000000,25.010000,22.492624,39700
2018-04-10,25.120001,25.129999,25.020000,25.030001,22.510605,19600
2018-04-11,25.000000,25.070000,25.000000,25.030001,22.510605,34000
2018-04-12,25.070000,25.110001,25.030001,25.030001,22.510605,21900
2018-04-13,25.090000,25.100000,24.990000,25.010000,22.492624,20000
2018-04-16,25.049999,25.150000,25.030001,25.100000,22.573565,24600
2018-04-17,25.190001,25.340000,25.190001,25.290001,22.744442,28100
2018-04-18,25.340000,25.440001,25.340000,25.410000,22.852356,18400
2018-04-19,25.400000,25.410000,25.240000,25.270000,22.726452,26200
2018-04-20,25.260000,25.299999,25.230000,25.250000,22.708458,12200
2018-04-23,25.270000,25.400000,25.270000,25.360001,22.807390,23900
2018-04-24,25.290001,25.290001,25.020000,25.040001,22.603384,18800
2018-04-25,25.010000,25.080000,25.000000,25.040001,22.603384,12300
2018-04-26,25.110001,25.270000,25.080000,25.230000,22.774893,36800
2018-04-27,25.290001,25.309999,25.250000,25.290001,22.829062,10300
2018-04-30,25.299999,25.360001,25.200001,25.200001,22.747812,28400
2018-05-01,25.200001,25.219999,25.129999,25.219999,22.765867,25400
2018-05-02,25.260000,25.260000,25.190001,25.190001,22.738785,14600
2018-05-03,25.200001,25.200001,25.100000,25.160000,22.711710,26500
2018-05-04,25.150000,25.370001,25.150000,25.320000,22.856136,29300
2018-05-07,25.379999,25.490000,25.379999,25.420000,22.946409,26400
2018-05-08,25.450001,25.450001,25.320000,25.410000,22.937378,18700
2018-05-09,25.459999,25.469999,25.350000,25.389999,22.919321,24200
2018-05-10,25.450001,25.540001,25.410000,25.500000,23.018620,29000
2018-05-11,25.540001,25.540001,25.450001,25.510000,23.027653,22100
2018-05-14,25.559999,25.650000,25.549999,25.570000,23.081806,20100
2018-05-15,25.580000,25.680000,25.540001,25.629999,23.135967,257700
2018-05-16,25.629999,25.629999,25.490000,25.570000,23.081806,19400
2018-05-17,25.590000,25.690001,25.590000,25.670000,23.172077,23200
2018-05-18,25.680000,25.780001,25.650000,25.780001,23.271374,20100
2018-05-22,25.790001,25.910000,25.790001,25.790001,23.280407,15900
2018-05-23,25.760000,25.820000,25.750000,25.799999,23.289423,9200
2018-05-24,25.790001,25.809999,25.690001,25.740000,23.235266,21000
2018-05-25,25.570000,25.660000,25.570000,25.639999,23.229832,9700
2018-05-28,25.639999,25.639999,25.530001,25.570000,23.166410,10200
2018-05-29,25.490000,25.530001,25.360001,25.440001,23.048630,24700
2018-05-30,25.469999,25.580000,25.420000,25.570000,23.166410,11600
2018-05-31,25.549999,25.620001,25.530001,25.570000,23.166410,54900
2018-06-01,25.590000,25.650000,25.580000,25.610001,23.202648,46100
2018-06-04,25.620001,25.730000,25.620001,25.690001,23.275133,47500
2018-06-05,25.730000,25.850000,25.730000,25.770000,23.347610,18300
2018-06-06,25.780001,25.799999,25.740000,25.760000,23.338552,20000
2018-06-07,25.790001,25.879999,25.770000,25.809999,23.383852,22400
2018-06-08,25.830000,25.889999,25.790001,25.889999,23.456327,23200
2018-06-11,25.879999,26.049999,25.879999,26.000000,23.555986,27600
2018-06-12,26.010000,26.100000,26.000000,26.090000,23.637531,47100
2018-06-13,26.100000,26.120001,25.980000,26.000000,23.555986,28600
2018-06-14,25.980000,26.090000,25.980000,26.049999,23.601294,23500
2018-06-15,26.020000,26.110001,25.969999,26.110001,23.655653,30900
2018-06-18,26.049999,26.280001,26.049999,26.280001,23.809668,34400
2018-06-19,26.150000,26.280001,26.150000,26.230000,23.764374,29200
2018-06-20,26.270000,26.379999,26.270000,26.370001,23.891216,29600
2018-06-21,26.340000,26.340000,26.200001,26.200001,23.737192,24300
2018-06-22,26.309999,26.370001,26.309999,26.340000,23.864031,26700
2018-06-25,26.190001,26.190001,25.990000,26.020000,23.658543,53300
2018-06-26,26.020000,26.139999,26.020000,26.139999,23.767653,25700
2018-06-27,26.049999,26.049999,25.889999,25.889999,23.540339,27800
2018-06-28,25.830000,25.850000,25.680000,25.790001,23.449413,30600
2018-06-29,25.879999,26.030001,25.879999,25.980000,23.622168,15500
2018-07-03,25.980000,26.030001,25.940001,25.950001,23.594893,12900
2018-07-04,25.959999,26.070000,25.959999,26.070000,23.704008,5700
2018-07-05,26.030001,26.030001,25.930000,26.000000,23.640358,10500
2018-07-06,26.000000,26.160000,25.969999,26.160000,23.785837,24200
2018-07-09,26.209999,26.250000,26.160000,26.209999,23.831299,17600
2018-07-10,26.290001,26.360001,26.260000,26.360001,23.967686,17600
2018-07-11,26.240000,26.240000,26.170000,26.219999,23.840393,10400
2018-07-12,26.250000,26.450001,26.240000,26.430000,24.031332,27800
2018-07-13,26.430000,26.430000,26.360001,26.379999,23.985868,9000
2018-07-16,26.379999,26.379999,26.290001,26.330000,23.940405,13700
2018-07-17,26.280001,26.350000,26.280001,26.330000,23.940405,8100
2018-07-18,26.350000,26.370001,26.309999,26.309999,23.922220,10100
2018-07-19,26.320000,26.410000,26.320000,26.389999,23.994963,3600
2018-07-20,26.379999,26.379999,26.240000,26.250000,23.867666,5100
2018-07-23,26.280001,26.280001,26.200001,26.230000,23.849485,18300
2018-07-24,26.240000,26.330000,26.209999,26.209999,23.831299,16900
2018-07-25,26.080000,26.080000,26.030001,26.070000,23.802994,37800
2018-07-26,26.059999,26.219999,26.030001,26.180000,23.903425,26200
2018-07-27,26.230000,26.270000,26.110001,26.150000,23.876040,9200
2018-07-30,26.180000,26.200001,26.110001,26.139999,23.866909,14300
