Date,Open,High,Low,Close,Adj Close,Volume
2017-08-16,27.219999,27.230000,27.200001,27.200001,23.591639,6200
2017-08-17,27.180000,27.180000,27.100000,27.100000,23.504902,10900
2017-08-18,27.100000,27.100000,26.980000,26.980000,23.400814,4600
2017-08-21,27.000000,27.020000,26.940001,26.990000,23.409496,3500
2017-08-22,27.030001,27.049999,27.020000,27.020000,23.435511,3900
2017-08-23,27.030001,27.180000,27.030001,27.160000,23.556938,3300
2017-08-24,27.250000,27.250000,27.100000,27.100000,23.504902,19000
2017-08-25,27.120001,27.139999,27.100000,27.110001,23.513569,6900
2017-08-28,27.049999,27.049999,26.900000,26.910000,23.429115,27200
2017-08-29,26.870001,26.950001,26.799999,26.950001,23.463951,6200
2017-08-30,26.980000,27.120001,26.959999,27.090000,23.585838,12100
2017-08-31,27.070000,27.100000,27.040001,27.090000,23.585838,21300
2017-09-01,27.090000,27.160000,27.090000,27.150000,23.638071,19500
2017-09-05,27.100000,27.100000,26.980000,26.980000,23.490065,6800
2017-09-06,27.100000,27.100000,26.910000,26.930000,23.446531,5300
2017-09-07,26.910000,26.910000,26.840000,26.840000,23.368174,8600
2017-09-08,26.860001,26.860001,26.780001,26.840000,23.368174,15900
2017-09-11,26.969999,26.969999,26.889999,26.889999,23.411703,10700
2017-09-12,26.950001,26.969999,26.900000,26.940001,23.455238,14700
2017-09-13,27.000000,27.000000,26.930000,26.930000,23.446531,8100
2017-09-14,26.910000,27.020000,26.910000,27.000000,23.507479,21600
2017-09-15,27.080000,27.080000,26.980000,26.980000,23.490065,14700
2017-09-18,27.090000,27.170000,27.049999,27.170000,23.655493,2600
2017-09-19,27.250000,27.340000,27.230000,27.340000,23.803495,9200
2017-09-20,27.389999,27.389999,27.280001,27.320000,23.786089,5900
2017-09-21,27.350000,27.430000,27.330000,27.400000,23.855742,21000
2017-09-22,27.410000,27.410000,27.340000,27.370001,23.829617,11500
2017-09-25,27.500000,27.559999,27.450001,27.559999,23.995043,21300
2017-09-26,27.570000,27.570000,27.480000,27.510000,23.951515,9900
2017-09-27,27.459999,27.559999,27.450001,27.549999,24.076479,11000
2017-09-28,27.549999,27.660000,27.549999,27.650000,24.163874,16400
2017-09-29,27.690001,27.719999,27.680000,27.680000,24.190086,5900
2017-10-02,27.680000,27.760000,27.680000,27.750000,24.251263,26400
2017-10-03,27.770000,27.860001,27.770000,27.809999,24.303698,14500
2017-10-04,27.840000,27.879999,27.809999,27.870001,24.356131,10400
2017-10-05,27.870001,27.940001,27.870001,27.879999,24.364872,8100
2017-10-06,27.870001,27.870001,27.770000,27.809999,24.303698,8800
2017-10-10,27.809999,27.950001,27.809999,27.940001,24.417311,14100
2017-10-11,27.940001,28.000000,27.910000,27.990000,24.461000,29600
2017-10-12,27.959999,27.959999,27.889999,27.910000,24.391087,31300
2017-10-13,27.940001,28.010000,27.940001,27.990000,24.461000,14300
2017-10-16,28.020000,28.030001,27.980000,27.990000,24.461000,16000
2017-10-17,28.000000,28.059999,27.990000,28.000000,24.469742,14200
2017-10-18,28.010000,28.030001,27.920000,27.940001,24.417311,26700
2017-10-19,27.940001,27.969999,27.920000,27.959999,24.434786,8500
2017-10-20,28.080000,28.080000,27.969999,28.070000,24.530914,16800
2017-10-23,28.059999,28.090000,28.049999,28.080000,24.539658,7000
2017-10-24,28.129999,28.129999,28.070000,28.090000,24.548399,15500
2017-10-25,28.100000,28.139999,28.040001,28.080000,24.539658,5400
2017-10-26,28.150000,28.170000,28.120001,28.120001,24.574615,12500
2017-10-27,28.059999,28.170000,28.040001,28.129999,24.676374,14200
2017-10-30,28.160000,28.250000,28.150000,28.219999,24.755320,16000
2017-10-31,28.290001,28.389999,28.260000,28.350000,24.869362,8100
2017-11-01,28.340000,28.410000,28.340000,28.379999,24.895679,8800
2017-11-02,28.360001,28.370001,28.260000,28.320000,24.843037,9700
2017-11-03,28.309999,28.459999,28.299999,28.450001,24.957081,21700
2017-11-06,28.430000,28.570000,28.430000,28.570000,25.062353,5500
2017-11-07,28.620001,28.719999,28.620001,28.719999,25.193933,4600
2017-11-08,28.740000,28.740000,28.590000,28.639999,25.123751,5700
2017-11-09,28.530001,28.650000,28.510000,28.639999,25.123751,11400
2017-11-10,28.660000,28.660000,28.490000,28.530001,25.027262,7300
2017-11-13,28.520000,28.520000,28.469999,28.520000,25.018490,3800
2017-11-14,28.480000,28.520000,28.450001,28.450001,24.957081,9300
2017-11-15,28.410000,28.410000,28.350000,28.379999,24.895679,5800
2017-11-16,28.650000,28.650000,28.400000,28.459999,24.965855,21700
2017-11-17,28.530001,28.549999,28.520000,28.540001,25.036034,12800
2017-11-20,28.530001,28.620001,28.530001,28.580000,25.071117,5300
2017-11-21,28.700001,28.700001,28.670000,28.670000,25.150076,4800
2017-11-22,28.719999,28.719999,28.600000,28.629999,25.114986,6900
2017-11-23,28.629999,28.650000,28.610001,28.610001,25.097441,11500
2017-11-24,28.690001,28.730000,28.690001,28.730000,25.202709,3500
2017-11-27,28.770000,28.770000,28.629999,28.650000,25.132530,10100
2017-11-28,28.590000,28.620001,28.549999,28.549999,25.136049,11100
2017-11-29,28.600000,28.600000,28.440001,28.450001,25.048008,6600
2017-11-30,28.480000,28.660000,28.480000,28.629999,25.206486,8200
2017-12-01,28.620001,28.730000,28.600000,28.690001,25.259308,4000
2017-12-04,28.719999,28.719999,28.610001,28.610001,25.188879,16200
2017-12-05,28.590000,28.600000,28.510000,28.510000,25.100836,6700
2017-12-06,28.500000,28.580000,28.480000,28.580000,25.162457,2900
2017-12-07,28.610001,28.610001,28.540001,28.600000,25.180075,8100
2017-12-08,28.650000,28.719999,28.650000,28.719999,25.285719,4100
2017-12-11,28.709999,28.790001,28.700001,28.750000,25.312140,19100
2017-12-12,28.809999,28.850000,28.799999,28.799999,25.356152,6300
2017-12-13,28.900000,28.910000,28.850000,28.850000,25.400177,21300
2017-12-14,28.889999,28.889999,28.730000,28.730000,25.294529,4500
2017-12-15,28.780001,28.809999,28.780001,28.780001,25.338547,7200
2017-12-18,28.850000,28.879999,28.740000,28.770000,25.329742,10500
2017-12-19,28.790001,28.850000,28.740000,28.750000,25.312140,10500
2017-12-20,28.840000,28.840000,28.650000,28.650000,25.224092,9600
