Date,Open,High,Low,Close,Adj Close,Volume
2017-08-16,64.830002,65.040001,64.830002,64.980003,61.152729,85300
2017-08-17,64.959999,65.120003,64.959999,65.099998,61.265690,70400
2017-08-18,65.160004,65.199997,65.029999,65.080002,61.246853,87800
2017-08-21,65.110001,65.160004,65.089996,65.120003,61.284504,75800
2017-08-22,65.059998,65.099998,64.980003,65.019997,61.190380,95900
2017-08-23,65.129997,65.199997,65.089996,65.169998,61.331562,57500
2017-08-24,65.099998,65.169998,65.070000,65.089996,61.256260,55400
2017-08-25,65.089996,65.190002,65.070000,65.129997,61.293911,66200
2017-08-28,65.139999,65.209999,65.129997,65.209999,61.369205,86000
2017-08-29,65.379997,65.449997,65.250000,65.309998,61.463314,71800
2017-08-30,65.250000,65.309998,65.209999,65.239998,61.397438,94200
2017-08-31,65.279999,65.360001,65.239998,65.330002,61.482147,82500
2017-09-01,65.230003,65.230003,65.099998,65.099998,61.350201,48400
2017-09-05,65.250000,65.480003,65.250000,65.419998,61.651768,102400
2017-09-06,65.400002,65.459999,65.230003,65.230003,61.472725,145800
2017-09-07,65.410004,65.529999,65.370003,65.480003,61.708305,42200
2017-09-08,65.519997,65.519997,65.419998,65.470001,61.698872,51000
2017-09-11,65.330002,65.330002,65.199997,65.250000,61.491550,65400
2017-09-12,65.150002,65.169998,65.099998,65.110001,61.359608,60900
2017-09-13,65.129997,65.139999,65.040001,65.059998,61.312496,41200
2017-09-14,65.000000,65.050003,64.970001,65.029999,61.284222,63400
2017-09-15,65.040001,65.040001,64.970001,65.000000,61.255955,47400
2017-09-18,64.949997,64.989998,64.870003,64.959999,61.218269,99700
2017-09-19,64.940002,64.959999,64.860001,64.889999,61.152294,59800
2017-09-20,64.849998,64.970001,64.699997,64.730003,61.001514,58100
2017-09-21,64.820000,64.839996,64.720001,64.739998,61.010952,68500
2017-09-22,64.860001,64.889999,64.769997,64.830002,61.095745,59000
2017-09-25,64.809998,64.949997,64.800003,64.930000,61.189991,137800
2017-09-26,64.889999,64.949997,64.849998,64.860001,61.124027,64900
2017-09-27,64.699997,64.739998,64.660004,64.709999,60.982662,105300
2017-09-28,64.669998,64.769997,64.650002,64.730003,61.001514,44800
2017-09-29,64.760002,64.800003,64.620003,64.660004,60.935555,82500
2017-10-02,64.580002,64.610001,64.500000,64.519997,60.897793,84200
2017-10-03,64.529999,64.610001,64.529999,64.610001,60.982738,71000
2017-10-04,64.610001,64.610001,64.510002,64.580002,60.954414,64100
2017-10-05,64.610001,64.610001,64.480003,64.519997,60.897793,112100
2017-10-06,64.400002,64.529999,64.320000,64.449997,60.831707,103200
2017-10-09,64.489998,64.540001,64.459999,64.480003,60.860043,120500
2017-10-10,64.489998,64.610001,64.489998,64.540001,60.916664,879200
2017-10-11,64.570000,64.589996,64.500000,64.519997,60.897793,74100
2017-10-12,64.570000,64.589996,64.519997,64.589996,60.963848,81500
2017-10-13,64.720001,64.739998,64.650002,64.720001,61.086563,82100
2017-10-16,64.639999,64.669998,64.540001,64.570000,60.944977,96300
2017-10-17,64.529999,64.580002,64.480003,64.570000,60.944977,80500
2017-10-18,64.430000,64.519997,64.430000,64.470001,60.850597,72900
2017-10-19,64.550003,64.639999,64.500000,64.540001,60.916664,80300
2017-10-20,64.389999,64.440002,64.349998,64.389999,60.775097,90500
2017-10-23,64.370003,64.449997,64.370003,64.400002,60.784534,148300
2017-10-24,64.330002,64.379997,64.300003,64.309998,60.699570,75300
2017-10-25,64.220001,64.309998,64.180000,64.260002,60.652386,99500
2017-10-26,64.320000,64.330002,64.180000,64.220001,60.614635,90200
2017-10-27,64.250000,64.349998,64.220001,64.330002,60.718452,83900
2017-10-30,64.389999,64.500000,64.389999,64.480003,60.860043,103000
2017-10-31,64.449997,64.519997,64.430000,64.440002,60.822285,74400
2017-11-01,64.309998,64.449997,64.300003,64.309998,60.784466,80500
2017-11-02,64.400002,64.470001,64.349998,64.419998,60.888454,1486800
2017-11-03,64.459999,64.480003,64.379997,64.470001,60.935707,76800
2017-11-06,64.480003,64.540001,64.459999,64.480003,60.945164,91900
2017-11-07,64.489998,64.519997,64.449997,64.480003,60.945164,73700
2017-11-08,64.500000,64.550003,64.419998,64.449997,60.916798,71000
2017-11-09,64.349998,64.500000,64.339996,64.449997,60.916798,72000
2017-11-10,64.309998,64.360001,64.230003,64.250000,60.727772,79800
2017-11-13,64.250000,64.320000,64.199997,64.209999,60.689953,81200
2017-11-14,64.180000,64.300003,64.180000,64.279999,60.756115,59800
2017-11-15,64.379997,64.430000,64.290001,64.400002,60.869549,59200
2017-11-16,64.309998,64.349998,64.279999,64.290001,60.765572,483000
2017-11-17,64.349998,64.370003,64.290001,64.330002,60.803375,76400
2017-11-20,64.269997,64.330002,64.190002,64.239998,60.718292,127600
2017-11-21,64.279999,64.309998,64.180000,64.230003,60.708874,117400
2017-11-22,64.250000,64.410004,64.250000,64.360001,60.831730,63600
2017-11-24,64.360001,64.370003,64.330002,64.339996,60.812828,24500
2017-11-27,64.349998,64.400002,64.300003,64.379997,60.850636,71600
2017-11-28,64.410004,64.449997,64.320000,64.370003,60.841183,165000
2017-11-29,64.239998,64.290001,64.190002,64.230003,60.708874,110600
2017-11-30,64.220001,64.260002,64.059998,64.120003,60.604889,107900
2017-12-01,64.059998,64.300003,63.919998,64.139999,60.713741,131700
2017-12-04,64.040001,64.089996,63.990002,64.070000,60.647476,123000
2017-12-05,64.010002,64.099998,63.980000,64.099998,60.675877,106200
2017-12-06,64.199997,64.239998,64.169998,64.190002,60.761082,72100
2017-12-07,64.150002,64.220001,64.070000,64.110001,60.685352,106500
2017-12-08,64.160004,64.190002,64.059998,64.080002,60.656937,69400
2017-12-11,64.089996,64.160004,64.050003,64.070000,60.647476,104200
2017-12-12,64.019997,64.059998,63.959999,64.029999,60.609623,135400
2017-12-13,64.099998,64.230003,64.029999,64.230003,60.798958,189500
2017-12-14,64.139999,64.220001,64.070000,64.180000,60.751617,221400
2017-12-15,64.099998,64.190002,64.040001,64.129997,60.704285,384800
2017-12-18,64.089996,64.160004,64.050003,64.080002,60.656937,148800
2017-12-19,63.990002,64.000000,63.849998,63.919998,60.505489,250300
2017-12-20,63.779999,63.900002,63.779999,63.820000,60.410851,97600
2017-12-21,63.799999,63.849998,63.759998,63.820000,60.410851,340100
2017-12-22,63.799999,63.849998,63.770000,63.820000,60.410851,611400
2017-12-26,63.730000,63.799999,63.730000,63.770000,60.462994,120500
2017-12-27,63.810001,63.950001,63.779999,63.919998,60.605206,103500
2017-12-28,63.889999,63.889999,63.820000,63.880001,60.567280,166700
2017-12-29,63.889999,63.970001,63.889999,63.939999,60.624176,175700
2018-01-02,63.880001,63.889999,63.720001,63.810001,60.500919,239400
2018-01-03,63.849998,63.889999,63.790001,63.830002,60.519878,372100
2018-01-04,63.700001,63.799999,63.700001,63.779999,60.472466,122900
2018-01-05,63.799999,63.799999,63.700001,63.740002,60.434555,133900
2018-01-08,63.740002,63.759998,63.680000,63.700001,60.396626,167700
2018-01-09,63.680000,63.680000,63.540001,63.549999,60.254391,140200
2018-01-10,63.490002,63.570000,63.419998,63.570000,60.273357,113500
2018-01-11,63.529999,63.630001,63.500000,63.590000,60.292332,171100
2018-01-12,63.470001,63.549999,63.470001,63.540001,60.244915,127700
2018-01-16,63.599998,63.599998,63.470001,63.509998,60.216461,230500
2018-01-17,63.470001,63.509998,63.419998,63.450001,60.159588,168100
2018-01-18,63.349998,63.380001,63.320000,63.330002,60.045799,198200
2018-01-19,63.330002,63.330002,63.220001,63.220001,59.941498,117000
2018-01-22,63.250000,63.320000,63.200001,63.230000,59.951000,312800
2018-01-23,63.330002,63.360001,63.279999,63.360001,60.074245,125500
2018-01-24,63.299999,63.310001,63.220001,63.279999,59.998398,161000
2018-01-25,63.200001,63.360001,63.169998,63.349998,60.064770,196500
2018-01-26,63.279999,63.279999,63.160000,63.200001,59.922543,105900
2018-01-29,63.080002,63.150002,63.029999,63.130001,59.856182,127800
2018-01-30,63.110001,63.130001,63.009998,63.060001,59.789810,173100
2018-01-31,63.070000,63.099998,62.930000,63.009998,59.742401,398100
2018-02-01,62.919998,62.930000,62.709999,62.709999,59.543015,330100
2018-02-02,62.669998,62.709999,62.570000,62.650002,59.486034,309100
2018-02-05,62.669998,63.090000,62.619999,63.009998,59.827854,247000
2018-02-06,63.000000,63.070000,62.820000,62.820000,59.647449,372300
2018-02-07,62.860001,62.900002,62.650002,62.709999,59.543015,118500
2018-02-08,62.639999,62.880001,62.580002,62.790001,59.618965,181200
2018-02-09,62.700001,63.020000,62.669998,62.759998,59.590469,175400
2018-02-12,62.720001,62.790001,62.680000,62.700001,59.533504,255700
2018-02-13,62.720001,62.820000,62.720001,62.790001,59.618965,94200
2018-02-14,62.630001,62.630001,62.439999,62.500000,59.343609,117700
2018-02-15,62.459999,62.570000,62.459999,62.480000,59.324619,122600
2018-02-16,62.630001,62.660000,62.570000,62.590000,59.429066,272800
2018-02-20,62.500000,62.570000,62.459999,62.549999,59.391079,68700
2018-02-21,62.560001,62.599998,62.400002,62.450001,59.296146,59700
2018-02-22,62.529999,62.570000,62.480000,62.529999,59.372089,391600
2018-02-23,62.599998,62.709999,62.599998,62.660000,59.495537,262400
2018-02-26,62.730000,62.779999,62.689999,62.709999,59.543015,149400
2018-02-27,62.720001,62.730000,62.480000,62.529999,59.372089,84000
2018-02-28,62.560001,62.630001,62.549999,62.630001,59.467049,168200
2018-03-01,62.599998,62.790001,62.540001,62.750000,59.667686,151800
2018-03-02,62.709999,62.720001,62.570000,62.590000,59.515541,81600
2018-03-05,62.689999,62.730000,62.520000,62.549999,59.477501,115600
2018-03-06,62.549999,62.630001,62.529999,62.529999,59.458481,75600
2018-03-07,62.619999,62.660000,62.529999,62.560001,59.487019,114400
2018-03-08,62.570000,62.650002,62.570000,62.619999,59.544071,69700
2018-03-09,62.540001,62.580002,62.480000,62.540001,59.467995,99900
2018-03-12,62.540001,62.630001,62.540001,62.610001,59.534561,67800
2018-03-13,62.540001,62.689999,62.540001,62.689999,59.610634,71700
2018-03-14,62.650002,62.799999,62.639999,62.740002,59.658180,71100
2018-03-15,62.740002,62.779999,62.689999,62.709999,59.629658,102000
2018-03-16,62.700001,62.709999,62.630001,62.650002,59.572594,100400
2018-03-19,62.570000,62.730000,62.570000,62.619999,59.544071,90100
2018-03-20,62.549999,62.590000,62.520000,62.540001,59.467995,97300
2018-03-21,62.459999,62.590000,62.400002,62.590000,59.515541,407300
2018-03-22,62.709999,62.810001,62.650002,62.759998,59.677181,117100
2018-03-23,62.740002,62.840000,62.740002,62.840000,59.753265,76500
2018-03-26,62.740002,62.799999,62.680000,62.700001,59.620132,76000
2018-03-27,62.740002,62.939999,62.709999,62.930000,59.838840,107200
2018-03-28,62.990002,63.020000,62.849998,62.900002,59.810318,84800
2018-03-29,62.889999,63.029999,62.889999,62.980000,59.886391,106500
2018-04-02,62.830002,63.020000,62.810001,62.910000,59.918774,274600
2018-04-03,62.860001,62.889999,62.750000,62.790001,59.804482,419100
2018-04-04,62.869999,62.869999,62.750000,62.759998,59.775902,179800
2018-04-05,62.689999,62.720001,62.650002,62.650002,59.671131,99900
2018-04-06,62.810001,62.880001,62.740002,62.880001,59.890198,77800
2018-04-09,62.770000,62.869999,62.750000,62.869999,59.880680,72200
2018-04-10,62.810001,62.810001,62.740002,62.779999,59.794952,84500
2018-04-11,62.830002,62.869999,62.770000,62.779999,59.794952,197500
2018-04-12,62.730000,62.730000,62.630001,62.630001,59.652088,90000
2018-04-13,62.610001,62.689999,62.610001,62.660000,59.680649,62600
2018-04-16,62.570000,62.660000,62.570000,62.650002,59.671131,114500
2018-04-17,62.599998,62.680000,62.590000,62.660000,59.680649,86000
2018-04-18,62.590000,62.610001,62.470001,62.480000,59.509216,56100
2018-04-19,62.400002,62.450001,62.349998,62.400002,59.433014,146700
2018-04-20,62.360001,62.380001,62.270000,62.279999,59.318722,68600
2018-04-23,62.230000,62.259998,62.180000,62.200001,59.242531,132800
2018-04-24,62.160000,62.240002,62.130001,62.200001,59.242531,79000
2018-04-25,62.150002,62.180000,62.110001,62.150002,59.194912,76500
2018-04-26,62.200001,62.250000,62.189999,62.220001,59.261574,41500
2018-04-27,62.259998,62.330002,62.259998,62.320000,59.356834,61900
2018-04-30,62.290001,62.349998,62.290001,62.320000,59.356834,106100
2018-05-01,62.200001,62.200001,62.139999,62.160000,59.300533,106100
2018-05-02,62.180000,62.230000,62.130001,62.200001,59.338699,106700
2018-05-03,62.270000,62.330002,62.250000,62.270000,59.405483,85500
2018-05-04,62.340000,62.340000,62.230000,62.290001,59.424557,61700
2018-05-07,62.290001,62.290001,62.250000,62.270000,59.405483,231900
2018-05-08,62.209999,62.250000,62.160000,62.220001,59.357773,83100
2018-05-09,62.099998,62.160000,62.099998,62.110001,59.252842,111900
2018-05-10,62.209999,62.230000,62.150002,62.160000,59.300533,57600
2018-05-11,62.180000,62.200001,62.150002,62.189999,59.329155,78500
2018-05-14,62.099998,62.139999,62.099998,62.110001,59.252842,79300
2018-05-15,61.970001,61.970001,61.849998,61.910000,59.062031,205400
2018-05-16,61.919998,61.919998,61.810001,61.810001,58.966648,262100
2018-05-17,61.840000,61.880001,61.820000,61.820000,58.976181,53600
2018-05-18,61.910000,62.009998,61.910000,61.990002,59.138367,72200
2018-05-21,61.939999,62.009998,61.939999,62.000000,59.147892,109900
2018-05-22,62.009998,62.020000,61.959999,62.009998,59.157429,1211500
2018-05-23,62.099998,62.220001,62.099998,62.180000,59.319618,86700
2018-05-24,62.270000,62.360001,62.250000,62.259998,59.395939,1303300
2018-05-25,62.419998,62.480000,62.419998,62.480000,59.605816,42900
2018-05-29,62.630001,63.020000,62.610001,62.950001,60.054184,164800
2018-05-30,62.750000,62.820000,62.669998,62.750000,59.863384,1192900
2018-05-31,62.730000,62.779999,62.639999,62.709999,59.825245,96700
2018-06-01,62.410000,62.500000,62.380001,62.450001,59.676178,76600
2018-06-04,62.380001,62.400002,62.290001,62.290001,59.523262,329600
2018-06-05,62.380001,62.439999,62.330002,62.400002,59.628380,89500
2018-06-06,62.290001,62.299999,62.189999,62.220001,59.456379,197400
2018-06-07,62.209999,62.500000,62.209999,62.410000,59.637943,79200
2018-06-08,62.360001,62.430000,62.330002,62.360001,59.590168,103800
2018-06-11,62.270000,62.330002,62.270000,62.320000,59.551949,70100
2018-06-12,62.250000,62.290001,62.240002,62.279999,59.513714,89200
2018-06-13,62.259998,62.310001,62.110001,62.209999,59.446815,86600
2018-06-14,62.270000,62.330002,62.259998,62.320000,59.551949,69800
2018-06-15,62.380001,62.470001,62.349998,62.360001,59.590168,747300
2018-06-18,62.380001,62.410000,62.340000,62.380001,59.609276,188000
2018-06-19,62.470001,62.520000,62.450001,62.470001,59.695282,67100
2018-06-20,62.480000,62.480000,62.360001,62.369999,59.599724,115000
2018-06-21,62.430000,62.520000,62.419998,62.470001,59.695282,562500
2018-06-22,62.419998,62.509998,62.419998,62.490002,59.714390,73000
2018-06-25,62.529999,62.590000,62.500000,62.529999,59.752613,213800
2018-06-26,62.520000,62.570000,62.509998,62.570000,59.790836,1683900
2018-06-27,62.650002,62.759998,62.630001,62.730000,59.943729,2221900
2018-06-28,62.730000,62.730000,62.639999,62.680000,59.895958,101500
2018-06-29,62.650002,62.689999,62.630001,62.650002,59.867279,128300
2018-07-02,62.570000,62.580002,62.470001,62.480000,59.800285,326300
2018-07-03,62.500000,62.599998,62.500000,62.580002,59.896004,144500
2018-07-05,62.599998,62.639999,62.549999,62.599998,59.915138,162600
2018-07-06,62.650002,62.660000,62.599998,62.639999,59.953426,147400
2018-07-09,62.549999,62.560001,62.509998,62.549999,59.867275,453900
2018-07-10,62.490002,62.540001,62.459999,62.500000,59.819424,153700
2018-07-11,62.549999,62.599998,62.509998,62.590000,59.905567,72300
2018-07-12,62.529999,62.580002,62.509998,62.560001,59.876850,85100
2018-07-13,62.619999,62.669998,62.590000,62.669998,59.982128,58700
2018-07-16,62.540001,62.590000,62.500000,62.580002,59.896004,159900
2018-07-17,62.570000,62.599998,62.520000,62.549999,59.867275,638500
2018-07-18,62.540001,62.580002,62.509998,62.520000,59.838570,78800
2018-07-19,62.540001,62.660000,62.520000,62.639999,59.953426,2360600
2018-07-20,62.619999,62.619999,62.520000,62.520000,59.838570,103000
2018-07-23,62.509998,62.509998,62.320000,62.320000,59.647148,78900
2018-07-24,62.310001,62.369999,62.279999,62.360001,59.685436,172300
2018-07-25,62.400002,62.410000,62.299999,62.299999,59.628002,71200
2018-07-26,62.330002,62.360001,62.240002,62.240002,59.570576,79100
2018-07-27,62.349998,62.349998,62.279999,62.320000,59.647148,126700
2018-07-30,62.259998,62.349998,62.259998,62.310001,59.637569,124800
2018-07-31,62.349998,62.369999,62.310001,62.349998,59.675861,79900
2018-08-01,62.130001,62.180000,62.099998,62.150002,59.589573,76900
2018-08-02,62.209999,62.230000,62.169998,62.230000,59.666279,116200
2018-08-03,62.270000,62.349998,62.250000,62.330002,59.762150,480000
2018-08-06,62.360001,62.419998,62.349998,62.349998,59.781322,77900
