Date,Open,High,Low,Close,Adj Close,Volume
2017-08-16,24.020000,24.080000,23.920000,23.940001,21.853128,168800
2017-08-17,23.910000,23.980000,23.850000,23.860001,21.780104,206000
2017-08-18,23.950001,23.950001,23.690001,23.740000,21.670565,226400
2017-08-21,23.709999,23.750000,23.700001,23.740000,21.670565,234100
2017-08-22,23.780001,23.820000,23.750000,23.799999,21.725336,39500
2017-08-23,23.760000,23.969999,23.760000,23.920000,21.834871,71300
2017-08-24,23.959999,23.980000,23.879999,23.950001,21.862259,65600
2017-08-25,23.990000,23.990000,23.910000,23.910000,21.825743,42800
2017-08-28,23.950001,23.950001,23.820000,23.900000,21.816612,218500
2017-08-29,23.799999,23.950001,23.750000,23.950001,21.862259,103400
2017-08-30,23.980000,24.100000,23.950001,24.049999,21.953537,220200
2017-08-31,24.090000,24.200001,24.070000,24.160000,22.053947,125900
2017-09-01,24.190001,24.190001,24.100000,24.139999,22.035692,119100
2017-09-05,24.129999,24.139999,23.860001,23.959999,21.871386,101200
2017-09-06,24.020000,24.120001,23.920000,23.940001,21.853128,160500
2017-09-07,23.959999,23.959999,23.870001,23.889999,21.807487,85500
2017-09-08,23.860001,23.870001,23.780001,23.830000,21.752718,116700
2017-09-11,23.889999,23.959999,23.879999,23.910000,21.825743,228300
2017-09-12,23.930000,24.090000,23.910000,24.070000,21.971794,124200
2017-09-13,24.070000,24.100000,24.040001,24.059999,21.962666,62500
2017-09-14,24.049999,24.160000,24.049999,24.150000,22.044821,54100
2017-09-15,24.150000,24.160000,24.100000,24.129999,22.026567,271700
2017-09-18,24.150000,24.270000,24.150000,24.250000,22.136106,142900
2017-09-19,24.270000,24.370001,24.260000,24.340000,22.218258,134300
2017-09-20,24.370001,24.490000,24.370001,24.480000,22.346058,162000
2017-09-21,24.459999,24.629999,24.459999,24.590000,22.446465,174200
2017-09-22,24.590000,24.610001,24.530001,24.600000,22.455599,55400
2017-09-25,24.430000,24.520000,24.389999,24.500000,22.528238,161600
2017-09-26,24.500000,24.510000,24.430000,24.450001,22.482262,157300
2017-09-27,24.490000,24.670000,24.459999,24.670000,22.684557,219300
2017-09-28,24.680000,24.740000,24.650000,24.700001,22.712145,266900
2017-09-29,24.740000,24.820000,24.730000,24.740000,22.748920,614700
2017-10-02,24.730000,24.850000,24.719999,24.850000,22.850071,127000
2017-10-03,24.870001,24.920000,24.870001,24.889999,22.886852,1203000
2017-10-04,24.889999,24.920000,24.860001,24.900000,22.896046,54400
2017-10-05,24.900000,24.990000,24.900000,24.969999,22.960411,164100
2017-10-06,24.910000,24.910000,24.820000,24.889999,22.886852,364300
2017-10-10,24.969999,24.990000,24.920000,24.959999,22.951216,148300
2017-10-11,24.980000,25.040001,24.980000,25.010000,22.997194,113400
2017-10-12,24.990000,25.000000,24.920000,24.920000,22.914436,154800
2017-10-13,25.000000,25.059999,25.000000,25.030001,23.015583,191700
2017-10-16,25.090000,25.120001,25.010000,25.010000,22.997194,134300
2017-10-17,25.030001,25.080000,25.010000,25.040001,23.024780,73800
2017-10-18,25.090000,25.110001,24.980000,24.990000,22.978804,80500
2017-10-19,24.930000,25.049999,24.930000,25.030001,23.015583,90400
2017-10-20,25.090000,25.150000,25.090000,25.110001,23.089146,98400
2017-10-23,25.129999,25.170000,25.100000,25.110001,23.089146,107900
2017-10-24,25.150000,25.209999,25.150000,25.180000,23.153513,126300
2017-10-25,25.160000,25.180000,25.059999,25.110001,23.089146,199700
2017-10-26,25.160000,25.209999,25.150000,25.180000,23.153513,135100
2017-10-27,25.190001,25.290001,25.150000,25.270000,23.236269,151600
2017-10-30,25.280001,25.400000,25.280001,25.360001,23.319025,187800
2017-10-31,25.379999,25.469999,25.370001,25.389999,23.346613,336100
2017-11-01,25.490000,25.540001,25.389999,25.400000,23.355804,94400
